id,frequency,frequency_short,last_updated,notes,observation_end,observation_start,popularity,realtime_end,realtime_start,seasonal_adjustment,seasonal_adjustment_short,title,units,units_short
TERMCBAUTO48NS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
RIFLPBCIANM60NM,Monthly,M,2018-07-09 15:01:02-05,,,,,,,,,,,
TERMAFCNCNSA,Monthly,M,2012-06-26 12:01:23-05,,,,,,,,,,,
BA3M,Monthly,M,2006-06-07 15:42:44-05,,,,,,,,,,,
BA6M,Monthly,M,2006-06-07 15:42:45-05,,,,,,,,,,,
WBA3M,"Weekly, Ending Friday",W,2000-06-30 00:00:00-05,,,,,,,,,,,
DBKAC,Daily,D,2000-07-03 00:00:00-05,,,,,,,,,,,
WBA6M,"Weekly, Ending Friday",W,2006-07-27 11:58:50-05,,,,,,,,,,,
CD12NRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:01-05,,,,,,,,,,,
CD12NRJD,"Weekly, As of Monday",W,2018-09-24 14:01:01-05,,,,,,,,,,,
CD1M,Monthly,M,2013-07-08 14:31:59-05,,,,,,,,,,,
CD60NRJD,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
DCD6M,Daily,D,2013-07-01 15:02:23-05,,,,,,,,,,,
CD3NRJD,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
CD60NRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
CD3M,Monthly,M,2013-07-08 14:31:57-05,,,,,,,,,,,
CD6NRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
CD6NRJD,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
CPN3M,Monthly,M,2018-09-04 15:41:04-05,,,,,,,,,,,
DCPF3M,Daily,D,2018-09-28 15:41:05-05,,,,,,,,,,,
RIFSPPNAAD90NB,Daily,D,2018-09-28 09:11:01-05,,,,,,,,,,,
DCPF1M,Daily,D,2018-09-25 15:41:02-05,,,,,,,,,,,
RIFSPPFAAD90NB,Daily,D,2018-09-28 09:11:03-05,,,,,,,,,,,
RIFSPPNA2P2D30NB,Daily,D,2018-09-28 09:11:02-05,,,,,,,,,,,
DCPN3M,Daily,D,2018-09-28 15:41:05-05,,,,,,,,,,,
CPF3M,Monthly,M,2018-09-04 15:41:04-05,,,,,,,,,,,
RIFSPPNAAD30NB,Daily,D,2018-09-28 09:11:02-05,,,,,,,,,,,
DCPN30,Daily,D,2018-09-28 15:41:05-05,,,,,,,,,,,
BAMLH0A0HYM2,"Daily, Close",D,2018-09-28 08:31:04-05,,,,,,,,,,,
AAA,Monthly,M,2018-09-04 10:16:28-05,,,,,,,,,,,
BAMLH0A0HYM2EY,"Daily, Close",D,2018-09-28 08:31:04-05,,,,,,,,,,,
BAMLC0A4CBBB,"Daily, Close",D,2018-09-28 08:31:18-05,,,,,,,,,,,
BAA,Monthly,M,2018-09-04 10:16:28-05,,,,,,,,,,,
BAMLC0A4CBBBEY,"Daily, Close",D,2018-09-28 08:31:18-05,,,,,,,,,,,
DBAA,Daily,D,2018-09-28 10:21:01-05,,,,,,,,,,,
BAMLH0A3HYC,"Daily, Close",D,2018-09-28 08:31:03-05,,,,,,,,,,,
BAMLC0A0CM,"Daily, Close",D,2018-09-28 08:31:19-05,,,,,,,,,,,
BAMLH0A1HYBBEY,"Daily, Close",D,2018-09-28 08:31:04-05,,,,,,,,,,,
TERMCBCCALLNS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
TERMCBCCINTNS,Monthly,M,2018-07-09 14:51:02-05,,,,,,,,,,,
DED1,Daily,D,2016-10-11 18:14:50-05,,,,,,,,,,,
DED3,Daily,D,2016-10-11 18:15:41-05,,,,,,,,,,,
MED1,Monthly,M,2016-10-03 15:47:07-05,,,,,,,,,,,
DED6,Daily,D,2016-10-07 15:46:42-05,,,,,,,,,,,
WED1,"Weekly, Ending Friday",W,2016-10-11 17:58:55-05,,,,,,,,,,,
MED3,Monthly,M,2016-10-03 15:47:07-05,,,,,,,,,,,
WED3,"Weekly, Ending Friday",W,2016-10-11 18:03:35-05,,,,,,,,,,,
MED6,Monthly,M,2016-10-03 15:47:08-05,,,,,,,,,,,
WED6,"Weekly, Ending Friday",W,2016-10-03 15:47:17-05,,,,,,,,,,,
FEDFUNDS,Monthly,M,2018-09-04 15:41:02-05,,,,,,,,,,,
DFF,"Daily, 7-Day",D,2018-09-28 15:41:05-05,,,,,,,,,,,
DFEDTARU,"Daily, 7-Day",D,2018-09-28 07:01:02-05,,,,,,,,,,,
FEDTARMD,Annual,A,2018-09-26 17:11:01-05,,,,,,,,,,,
IOER,"Daily, 7-Day",D,2018-09-28 15:51:34-05,,,,,,,,,,,
EFFR,Daily,D,2018-09-28 08:01:03-05,,,,,,,,,,,
DFEDTARL,"Daily, 7-Day",D,2018-09-28 07:01:02-05,,,,,,,,,,,
DFEDTAR,"Daily, 7-Day",D,2015-05-04 14:10:26-05,,,,,,,,,,,
FF,"Weekly, Ending Wednesday",W,2018-09-27 15:41:06-05,,,,,,,,,,,
OBFR,Daily,D,2018-09-28 08:01:02-05,,,,,,,,,,,
ICNRNJ,"Weekly, As of Monday",W,2018-09-24 14:01:01-05,,,,,,,,,,,
ICRCNJ,"Weekly, As of Monday",W,2018-09-24 14:01:02-05,,,,,,,,,,,
T10Y2Y,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
T10Y3M,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
T10YIE,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
TEDRATE,Daily,D,2018-09-28 15:51:01-05,,,,,,,,,,,
T5YIFR,Daily,D,2018-09-28 15:51:33-05,,,,,,,,,,,
